Ticker,Name,Price,Volume,Signal,Model,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
PULS,"Pulse Electronics Corp.",$50.12,77973,Buy,SR[3]_breakout,98.5%,0.11%,0.11%,22.41,66.00,14.9,https://arizet.com/quantumstocks/#v/pl/tk/PULS/sn/SR[3]_breakout/sg/Buy/bk/SR[3]_breakout_Buy_PULS_3:2_ATR[20]_m24/tp/Ticker/
PULS,"Pulse Electronics Corp.",$50.12,77973,Buy,SR[5]_breakout,98.4%,0.11%,0.11%,20.79,61.00,14.7,https://arizet.com/quantumstocks/#v/pl/tk/PULS/sn/SR[5]_breakout/sg/Buy/bk/SR[5]_breakout_Buy_PULS_3:2_ATR[20]_m24/tp/Ticker/
QADA,"QAD Inc.",$43.72,82358,Buy,BBANDS[50_1_1]_breakout,100.0%,4.44%,4.72%,12.30,17.00,15.3,https://arizet.com/quantumstocks/#v/pl/tk/QADA/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_QADA_2:3_ATR[20]_m24/tp/Ticker/
RESI,"FRONT YARD RESIDENTIAL CORP",$11.60,87458,Buy,SMA[50]_price_crossover,100.0%,2.90%,2.72%,15.86,15.00,7.3,https://arizet.com/quantumstocks/#v/pl/tk/RESI/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_RESI_1:3_ATR[20]_m24/tp/Ticker/
RES,"RPC, Inc.",$6.75,6672558,Buy,SMA[50]_price_crossover,100.0%,4.27%,4.19%,24.69,15.00,6.3,https://arizet.com/quantumstocks/#v/pl/tk/RES/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_RES_1:3_ATR[20]_m24/tp/Ticker/
RES,"RPC, Inc.",$6.75,6672558,Buy,TRIMA[50]_price_crossover,100.0%,3.95%,4.13%,17.70,21.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/RES/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Sell_RES_1:3_ATR[20]_m24/tp/Ticker/
RNG,"Ringcentral, Inc.",$126.37,592103,Buy,MFI[5]_crosses_back_70_30_levels,100.0%,3.50%,3.29%,14.06,23.00,11.2,https://arizet.com/quantumstocks/#v/pl/tk/RNG/sn/MFI[5]_crosses_back_70_30_levels/sg/Buy/bk/MFI[5]_crosses_back_70_30_levels_Buy_RNG_1:3_ATR[20]_m24/tp/Ticker/
SYNC,"Synacor, Inc.",$1.45,66939,Buy,TRIMA[50]_price_crossover,100.0%,5.39%,4.76%,11.68,18.00,8.9,https://arizet.com/quantumstocks/#v/pl/tk/SYNC/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Sell_SYNC_1:3_ATR[20]_m24/tp/Ticker/
TEO,"Telecom Argentina Stet - France Telecom S.A.",$9.78,423292,Buy,ZIGZAGHL[3_3_0_10]_mean_reversion,100.0%,5.33%,5.23%,41.54,18.00,6.9,https://arizet.com/quantumstocks/#v/pl/tk/TEO/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_TEO_1:3_ATR[20]_m24/tp/Ticker/
VIRC,"Virco Manufacturing Corporation",$3.85,40888,Buy,CCI[40]_crosses_100_(-100)_levels,100.0%,3.90%,3.81%,22.28,16.00,7.7,https://arizet.com/quantumstocks/#v/pl/tk/VIRC/sn/CCI[40]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[40]_crosses_100_(-100)_levels_Buy_VIRC_1:3_ATR[20]_m24/tp/Ticker/
VRTX,"Vertex Pharmaceuticals Incorporated",$177.55,947081,Buy,WMA[100]_price_crossover,100.0%,2.74%,2.59%,25.74,21.00,9.0,https://arizet.com/quantumstocks/#v/pl/tk/VRTX/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Sell_VRTX_1:3_ATR[20]_m24/tp/Ticker/
WEC,"WEC Energy Group, Inc.",$91.31,1193840,Buy,MFI[9]_crosses_70_30_levels,100.0%,2.05%,1.50%,5.98,16.00,10.1,https://arizet.com/quantumstocks/#v/pl/tk/WEC/sn/MFI[9]_crosses_70_30_levels/sg/Buy/bk/MFI[9]_crosses_70_30_levels_Buy_WEC_1:3_ATR[20]_m24/tp/Ticker/
WLL,"Whiting Petroleum Corporation",$11.23,56193679,Buy,WMA[50]_price_crossover,100.0%,5.55%,5.23%,12.13,22.00,6.0,https://arizet.com/quantumstocks/#v/pl/tk/WLL/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Buy_WLL_1:3_ATR[20]_m24/tp/Ticker/
BANF,"BancFirst Corporation",$58.03,41994,Sell,SR[20]_counter_trend,100.0%,2.50%,2.38%,24.18,18.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/BANF/sn/SR[20]_counter_trend/sg/Sell/bk/SR[20]_counter_trend_Buy_BANF_1:3_ATR[20]_m24/tp/Ticker/
