"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
49,"CNO","CNO Financial Group, Inc.","Financial","Accident & Health Insurance","USA",2799.66,18.86,18.82,0.64%,1745438
50,"BDX","Becton, Dickinson and Company","Healthcare","Medical Instruments & Supplies","USA",72719.66,71.53,268.72,1.24%,1678303
51,"ADI","Analog Devices, Inc.","Technology","Semiconductor - Integrated Circuits","USA",43832.30,32.58,118.77,0.81%,1634921
52,"MAR","Marriott International, Inc.","Services","Lodging","USA",47116.14,36.83,146.16,0.73%,1610309
53,"CERN","Cerner Corporation","Technology","Healthcare Information Services","USA",22522.04,46.51,72.23,0.57%,1608415
54,"PXD","Pioneer Natural Resources Company","Basic Materials","Independent Oil & Gas","USA",23378.33,32.50,139.99,0.32%,1592734
55,"SATS","EchoStar Corporation","Technology","Communication Equipment","USA",4150.13,,42.86,9.09%,1571487
56,"CUE","Cue Biopharma, Inc.","Healthcare","Biotechnology","USA",302.12,,13.56,9.35%,1543006
57,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2854.31,12.98,30.42,0.76%,1496434
58,"CGNX","Cognex Corporation","Technology","Scientific & Technical Instruments","USA",9043.25,53.10,54.53,1.00%,1459790
59,"MMC","Marsh & McLennan Companies, Inc.","Financial","Insurance Brokers","USA",55933.24,37.40,110.54,0.24%,1428251
60,"TWO","Two Harbors Investment Corp.","Real Estate","REIT-Mortgage","USA",4046.97,,14.86,1.09%,1373233
61,"CXW","CoreCivic, Inc.","Financial","REIT - Diversified","USA",1896.01,10.07,15.92,3.78%,1368661
62,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",10883.13,27.90,38.86,0.60%,1357555
63,"DFS","Discover Financial Services","Financial","Credit Services","USA",27477.56,9.79,86.68,0.35%,1290646
64,"HLT","Hilton Worldwide Holdings Inc.","Services","Lodging","USA",30086.75,33.30,107.20,0.64%,1285747
65,"CDK","CDK Global, Inc.","Technology","Application Software","USA",6672.14,31.66,54.96,0.71%,1142422
66,"CB","Chubb Limited","Financial","Property & Casualty Insurance","USA",70357.33,19.71,154.64,0.62%,1107317
67,"LBRDK","Liberty Broadband Corporation","Services","Broadcasting - TV","USA",18615.41,554.05,121.89,0.64%,1091516
68,"HAS","Hasbro, Inc.","Consumer Goods","Toys & Games","USA",14122.73,48.56,103.92,1.13%,1074555
69,"FTNT","Fortinet, Inc.","Technology","Application Software","USA",18297.90,43.42,105.64,1.19%,1070722
70,"GGG","Graco Inc.","Industrial Goods","Diversified Machinery","USA",8522.60,26.32,51.08,0.39%,1021640
71,"EL","The Estee Lauder Companies Inc.","Consumer Goods","Personal Products","USA",72519.56,39.75,203.21,1.29%,1010107
72,"PFNX","Pfenex Inc.","Healthcare","Biotechnology","USA",371.61,,11.73,5.20%,889798
73,"SCI","Service Corporation International","Services","Personal Services","USA",8307.84,20.37,45.65,0.55%,882298
74,"NSP","Insperity, Inc.","Services","Business Services","USA",3286.88,21.96,83.17,1.20%,875661
75,"HUM","Humana Inc.","Healthcare","Health Care Plans","USA",47079.65,18.77,353.13,1.76%,859807
76,"ENTG","Entegris, Inc.","Technology","Semiconductor Equipment & Materials","USA",6755.95,24.66,50.01,0.46%,822666
77,"CIM","Chimera Investment Corporation","Real Estate","REIT-Mortgage","USA",3864.69,35.20,20.73,0.68%,799772
